aa,sex,wbc,lym,gran,lym_pc,gran_pc,rbc,hgb,hct,mcv,plt
0,M,30.80,26.55,3.75,86.20,12.10,2.11,10.00,28.30,134.10,11.60
0,M,30.46,28.68,3.51,87.60,11.50,2.14,10.30,30.90,144.10,9.00
0,M,45.30,34.38,9.29,75.90,20.50,2.30,11.30,31.80,138.20,10.30
0,M,46.21,35.49,9.20,76.80,19.90,2.31,11.50,32.20,139.50,10.10
0,M,50.32,42.82,6.39,85.10,12.70,2.27,11.50,34.10,149.80,5.00
0,M,46.51,29.25,14.61,62.90,31.40,2.29,10.60,30.00,130.90,11.30
0,M,36.08,30.38,5.09,84.20,14.10,2.12,10.10,28.40,134.00,10.60
0,M,42.74,32.44,8.72,75.90,20.40,2.33,10.90,31.40,134.70,0.00
0,F,43.48,36.70,5.78,84.40,13.30,2.75,12.90,36.50,133.10,10.20
0,F,40.34,35.02,4.67,86.80,11.60,2.70,12.80,37.90,140.10,15.00
0,F,37.35,31.26,5.16,83.70,13.80,2.29,10.90,31.00,135.20,12.40
0,F,31.94,28.11,3.32,88.00,10.40,2.25,10.90,32.30,143.30,11.00
0,F,87.40,77.30,6.30,0.88,0.07,1.83,11.10,23.90,130.90,0.11
0,F,42.93,36.06,5.88,84.00,13.70,2.53,11.80,33.40,131.80,11.70
0,F,39.99,34.63,4.68,86.60,11.70,2.49,11.70,33.90,136.30,3.00
0.25,M,33.10,28.66,3.98,86.60,12.00,2.12,10.10,28.60,134.80,10.90
0.25,M,34.98,29.66,4.76,84.80,13.60,2.09,10.20,29.90,142.80,0.00
0.25,M,90.03,83.37,6.03,92.60,6.70,5.41,25.50,73.50,135.90,11.90
0.25,M,39.88,34.26,5.02,85.90,12.60,2.16,10.20,30.80,142.30,14.00
0.25,M,34.99,30.58,3.89,87.40,11.10,2.14,10.30,30.30,141.90,40.00
0.25,F,42.07,35.47,5.63,84.30,13.40,2.54,11.80,33.90,133.60,12.40
0.25,F,37.75,33.11,4.04,87.70,10.70,2.36,11.40,32.40,137.00,13.00
0.25,F,31.62,26.94,4.17,85.20,13.20,2.22,9.70,28.10,126.80,11.50
0.25,F,33.72,28.26,4.65,83.80,13.80,2.23,10.07,30.30,136.00,11.40
0.25,F,32.63,27.80,4.24,85.20,13.00,2.23,10.80,31.70,142.00,1.00
0.5,M,90.70,81.30,7.00,0.90,0.08,1.76,11.40,25.10,142.70,0.12
0.5,M,42.62,35.12,6.48,82.40,15.20,2.63,12.60,35.80,136.10,11.10
0.5,M,42.61,36.82,5.15,86.40,12.10,2.46,12.30,35.70,145.10,4.00
0.5,M,44.31,38.11,5.58,86.00,12.60,2.49,11.50,33.20,133.00,10.50
0.5,M,44.75,38.35,5.46,85.70,12.20,2.41,11.30,31.90,132.30,10.20
0.5,M,40.89,35.78,4.54,87.50,11.10,2.47,11.80,34.50,139.80,23.00
0.5,M,32.77,26.41,5.51,80.60,16.80,1.97,9.20,26.30,133.80,11.30
0.5,M,34.72,29.82,4.31,85.90,12.40,2.15,10.30,30.90,143.80,5.00
0.5,F,49.32,43.30,5.38,87.80,10.90,3.43,16.30,45.90,133.90,11.70
0.5,F,42.67,36.31,5.72,85.10,13.40,2.59,12.40,35.80,138.00,4.00
0.5,F,37.42,24.92,10.37,66.60,27.70,2.25,10.20,29.90,132.70,11.70
0.5,F,34.55,28.64,5.12,82.90,14.80,2.18,10.30,29.70,136.30,12.00
0.5,F,31.07,26.81,3.67,86.30,11.80,2.15,10.30,30.30,140.70,9.00
0.5,F,71.83,63.93,7.04,89.00,9.80,4.69,22.50,62.20,132.60,11.30
0.5,F,39.47,34.73,4.19,88.00,10.60,2.32,11.20,32.40,140.00,13.00
0.75,M,44.57,38.78,5.21,87.00,11.70,2.41,11.70,34.60,143.40,12.00
0.75,M,33.01,26.87,5.31,81.40,16.10,1.77,8.50,23.70,133.70,10.20
0.75,M,33.23,28.31,4.29,85.20,12.90,1.78,8.70,25.40,142.40,62.00
0.75,M,38.83,33.82,4.43,87.10,11.40,2.24,10.50,31.20,139.50,14.00
0.75,F,33.00,26.57,5.57,80.50,16.90,2.16,10.01,28.40,131.50,11.60
0.75,F,30.00,26.57,5.57,80.50,16.90,2.16,10.10,28.40,131.50,11.60
0.75,F,44.09,38.01,5.37,86.20,12.20,2.48,11.60,33.70,135.90,10.80
0.75,F,42.52,37.76,4.12,88.80,9.70,2.46,11.80,35.00,142.00,16.00
0.75,F,40.08,32.02,7.06,79.90,17.60,1.91,9.10,26.10,136.40,11.40
0.75,F,38.75,32.78,5.39,84.60,13.90,1.98,9.40,27.90,141.20,15.00
